Name,Nationality,Overall,Club,Value,Position
A. Al Khaibari,Saudi Arabia,63,Ettifaq FC,€300K,CB
A. Al Habib,Saudi Arabia,63,Ettifaq FC,€375K,CB
S. Horemans,Belgium,63,Excelsior,€550K,CB
M. Anderson,Iceland,63,Excelsior,€700K,RM
H. Boateng,England,63,Exeter City,€500K,LCM
J. Taylor,Wales,63,Exeter City,€425K,RCM
S. Kalajdzic,Austria,63,FC Admira Wacker Mödling,€650K,CAM
J. Scherzer,Austria,63,FC Admira Wacker Mödling,€400K,LB
Ezkieta,Spain,63,FC Barcelona,€525K,GK
E. Cömert,Switzerland,63,FC Basel 1893,€725K,RCB
O. Batista Meier,Germany,63,FC Bayern München,€725K,LM
F. Evina,Germany,63,FC Bayern München,€725K,LM
J. Gerlach,Germany,63,FC Carl Zeiss Jena,€325K,CB
S. Eismann,Germany,63,FC Carl Zeiss Jena,€270K,CDM
F. Brügmann,Germany,63,FC Carl Zeiss Jena,€350K,RB
M. Grösch,Germany,63,FC Carl Zeiss Jena,€425K,RCB
D. Bock,Germany,63,FC Carl Zeiss Jena,€500K,RM
P. Pomykal,United States,63,FC Dallas,€750K,RM
H. Ben Moussa,Morocco,63,FC Emmen,€450K,CM
K. Weidlich,Germany,63,FC Energie Cottbus,€375K,CB
T. Kruse,Germany,63,FC Energie Cottbus,€90K,CDM
A. Spahic,Bosnia Herzegovina,63,FC Energie Cottbus,€400K,GK
L. Schlüter,Germany,63,FC Energie Cottbus,€375K,LB
J. Matuwila,Germany,63,FC Energie Cottbus,€375K,LCB
T. Baumgart,Germany,63,FC Erzgebirge Aue,€600K,RM
J. Strauß,Germany,63,FC Erzgebirge Aue,€450K,RWB
Y. Benrahou,Morocco,63,FC Girondins de Bordeaux,€800K,CAM
T. Handwerker,Germany,63,FC Groningen,€650K,LB
A. Mendes Moreira,Netherlands,63,FC Groningen,€500K,LM
W. Evseev,Kazakhstan,63,FC Hansa Rostock,€450K,CAM
N. Rieble,Germany,63,FC Hansa Rostock,€425K,LB
P. Neumann,Germany,63,FC Ingolstadt 04,€575K,RCB
H. Mendes,France,63,FC Lorient,€525K,RB
D. Da Costa,Switzerland,63,FC Lugano,€210K,GK
D. Zibung,Switzerland,63,FC Luzern,€150K,GK
A. Jallow,Gambia,63,FC Metz,€700K,RM
A. Okosun,Denmark,63,FC Midtjylland,€475K,CM
A. Dovbyk,Ukraine,63,FC Midtjylland,€600K,ST
A. Olliero,France,63,FC Nantes,€375K,GK
R. Kolo-Muani,DR Congo,63,FC Nantes,€525K,ST
A. Skovgaard,Denmark,63,FC Nordsjælland,€525K,CB
M. Andersen,Denmark,63,FC Nordsjælland,€775K,LCM
M. Rasmussen,Norway,63,FC Nordsjælland,€525K,LW
J. van der Werff,Switzerland,63,FC Red Bull Salzburg,€725K,CB
P. Köhn,Switzerland,63,FC Red Bull Salzburg,€675K,GK
Carlos Miguel,Brazil,63,FC Red Bull Salzburg,€525K,GK
D. Todorovic,Bosnia Herzegovina,63,FC Red Bull Salzburg,€550K,RB
Yoo Hyun,Korea Republic,63,FC Seoul,€190K,GK
Kim Won Gun,Korea Republic,63,FC Seoul,€350K,RCB
Park Hee Seong,Korea Republic,63,FC Seoul,€375K,ST
André Luis Neitzke,Brazil,63,FC Sion,€250K,RCB
R. Uldrikis,Latvia,63,FC Sion,€825K,ST
J. Pendant,France,63,FC Sochaux-Montbéliard,€500K,LB
D. Stojanovi?,FYR Macedonia,63,FC St. Gallen,€375K,GK
M. Facchinetti,Switzerland,63,FC Thun,€350K,LB
G. Karlen,Switzerland,63,FC Thun,€525K,RCM
T. Okubo,Japan,63,FC Tokyo,€260K,GK
R. Maeda,Japan,63,FC Tokyo,€130K,ST
O. Boussaid,Belgium,63,FC Utrecht,€750K,CAM
O. Velanas,Netherlands,63,FC Utrecht,€625K,CM
S. Meusburger,Austria,63,FC Wacker Innsbruck,€400K,CB
M. Maak,Austria,63,FC Wacker Innsbruck,€400K,CB
C. Freitag,Austria,63,FC Wacker Innsbruck,€325K,CDM
O. Güçtekin,Turkey,63,Fenerbahçe SK,€725K,CDM
O. Kökçü,Netherlands,63,Feyenoord,€725K,CM
T. Salamon,Austria,63,FK Austria Wien,€280K,LB
T. Jacobsen,Norway,63,FK Bodø/Glimt,€100K,LB
A. Layouni,Sweden,63,FK Bodø/Glimt,€450K,LW
C. Bolger,Republic of Ireland,63,Fleetwood Town,€400K,CB
P. Jones,England,63,Fleetwood Town,€210K,GK
A. Eastham,England,63,Fleetwood Town,€375K,LCB
C. McAleny,England,63,Fleetwood Town,€475K,ST
S. Laird,England,63,Forest Green Rovers,€270K,LB
P. Digby,England,63,Forest Green Rovers,€400K,LDM
K. Froese,Canada,63,Fortuna Düsseldorf,€525K,CAM
P. Ghiglione,Italy,63,Frosinone,€650K,RM
B. Gaul,United States,63,FSV Zwickau,€300K,CDM
S. Suganuma,Japan,63,Gamba Osaka,€325K,CB
J. Fujimoto,Japan,63,Gamba Osaka,€190K,RM
Kang Ji Hoon,Korea Republic,63,Gangwon FC,€525K,RB
David Alba,Spain,63,Getafe CF,€550K,CB
O. Berg,Norway,63,GIF Sundsvall,€475K,CM
P. Wilson,Sweden,63,GIF Sundsvall,€600K,LW
J. Tamimi,Jordan,63,GIF Sundsvall,€425K,RWB
D. Parrett,England,63,Gillingham,€425K,CM
B. Fuller,England,63,Gillingham,€140K,LB
L. O'Neill,England,63,Gillingham,€350K,RB
M. Byrne,Republic of Ireland,63,Gillingham,€350K,RCM
J. Parker,Antigua & Barbuda,63,Gillingham,€400K,ST
J. Hurtado,Venezuela,63,Gimnasia y Esgrima La Plata,€750K,RW
Salva Ferrer,Spain,63,Gimnàstic de Tarragona,€550K,CB
L. Suárez,Colombia,63,Gimnàstic de Tarragona,€575K,ST
Brugui,Spain,63,Gimnàstic de Tarragona,€600K,ST
L. Lencinas,Argentina,63,Godoy Cruz,€500K,LW
M. Koj,Poland,63,Górnik Zabrze,€400K,LB
D. Smuga,Poland,63,Górnik Zabrze,€575K,ST
Isi,Spain,63,Granada CF,€550K,CM
C. Tirard,France,63,Grenoble Foot 38,€525K,LW
A. Elogo,Cameroon,63,Grenoble Foot 38,€500K,LW
H. Abou Demba,Mauritania,63,Grenoble Foot 38,€375K,RB
J. McKeown,Republic of Ireland,63,Grimsby Town,€260K,GK
L. Hendrie,England,63,Grimsby Town,€400K,RB
Tang Shi,China PR,63,Guangzhou Evergrande Taobao FC,€525K,RM
Chen Zhizhao,China PR,63,Guangzhou R&F; FC,€350K,CM
Zhao Hejing,China PR,63,Guizhou Hengfeng FC,€140K,LB
Lee Jae Myung,Korea Republic,63,Gyeongnam FC,€350K,LB
Yu Ji Hoon,Korea Republic,63,Gyeongnam FC,€270K,LB
Choi Jae Soo,Korea Republic,63,Gyeongnam FC,€80K,LCB
Bae Ki Jong,Korea Republic,63,Gyeongnam FC,€160K,LW
H. Starostzik,Germany,63,Hallescher FC,€350K,CB
D. Bohl,Germany,63,Hallescher FC,€425K,CDM
T. Lindenhahn,Germany,63,Hallescher FC,€300K,RCB
T. Schilk,Germany,63,Hallescher FC,€375K,RWB
A. Ferati,Germany,63,Hamburger SV,€625K,CAM
S. Ambrosius,Germany,63,Hamburger SV,€725K,CB
D. Tshiembe,Denmark,63,Hamilton Academical FC,€375K,CB
J. Mucha,Slovakia,63,Hamilton Academical FC,€90K,GK
D. MacKinnon,Scotland,63,Hamilton Academical FC,€210K,RDM
J. Barny,Sweden,63,Hammarby IF,€375K,CM
J. Mulraney,Republic of Ireland,63,Heart of Midlothian,€525K,LM
Luo Senwen,China PR,63,Hebei China Fortune FC,€450K,CM
A. Empereur,Brazil,63,Hellas Verona,€400K,CB
A. Danzi,Italy,63,Hellas Verona,€725K,CDM
F. Eguelfi,Italy,63,Hellas Verona,€525K,LM
P. Cappelluzzo,Italy,63,Hellas Verona,€575K,ST
Wu Yan,China PR,63,Henan Jianye FC,€250K,GK
Yang Kuo,China PR,63,Henan Jianye FC,€400K,RWB
S. Sama,Germany,63,Heracles Almelo,€425K,CB
M. Rossmann,Germany,63,Heracles Almelo,€475K,RCB
M. Bartley,England,63,Hibernian,€325K,CM
J. Pirinen,Finland,63,HJK Helsinki,€350K,LB
R. Peiponen,Finland,63,HJK Helsinki,€425K,RB
N. Alho,Finland,63,HJK Helsinki,€450K,RW
F. Dhia Putros,Iraq,63,Hobro IK,€425K,CB
J. Tjørnelund,Denmark,63,Hobro IK,€375K,LB
V. Hammershøj-Mistrati,Denmark,63,Hobro IK,€450K,LCM
N. Gotfredsen,Denmark,63,Hobro IK,€280K,RB
M. Mikkelsen,Denmark,63,Hobro IK,€290K,RM
T. Arano,Japan,63,Hokkaido Consadole Sapporo,€500K,CAM
H. Miyazawa,Japan,63,Hokkaido Consadole Sapporo,€350K,CB
N. Ishikawa,Japan,63,Hokkaido Consadole Sapporo,€200K,LB
D. Suga,Japan,63,Hokkaido Consadole Sapporo,€525K,LM
D. Reimann,Germany,63,Holstein Kiel,€450K,GK
J. Gorenc Stankovi?,Slovenia,63,Huddersfield Town,€625K,CB
G. Sandberg Magnusson,Sweden,63,IF Brommapojkarna,€375K,LCM
J. Karlsson,Sweden,63,IF Elfsborg,€525K,ST
A. Affane,Sweden,63,IFK Göteborg,€500K,CM
D. Boo Wiklander,Sweden,63,IFK Göteborg,€150K,LCB
L. Krogh Gerson,Luxembourg,63,IFK Norrköping,€300K,CB
I. Smith,Costa Rica,63,IFK Norrköping,€725K,RM
O. Pehrsson,Sweden,63,IK Sirius,€270K,LCB
I. Sirelius,Sweden,63,IK Sirius,€350K,LM
E. Andersson,Sweden,63,IK Sirius,€550K,LM
J. Lindberg,Sweden,63,IK Sirius,€375K,ST
I. Twum,Ghana,63,IK Start,€800K,CM
S. Larsen,Norway,63,IK Start,€270K,LCB
E. Børufsen,Norway,63,IK Start,€350K,LW
M. Bringaker,Norway,63,IK Start,€550K,ST
Kim Dae Jung,Korea Republic,63,Incheon United FC,€425K,CB
Lee Tae Hee,Korea Republic,63,Incheon United FC,€400K,GK
Park Jong Jin,Korea Republic,63,Incheon United FC,€325K,LM
J. Barboza,Uruguay,63,Independiente Medellín,€375K,CM
A. Mosquera,Colombia,63,Independiente Medellín,€325K,GK
Y. Mena,Colombia,63,Independiente Medellín,€450K,ST
R. Bentancourt,Uruguay,63,Independiente Santa Fe,€500K,ST
R. Lemus,Colombia,63,Itagüí Leones FC,€450K,CAM
E. Restrepo,Colombia,63,Itagüí Leones FC,€625K,RCB
W. Jordán,Colombia,63,Itagüí Leones FC,€400K,ST
R. Córdoba,Colombia,63,Jaguares de Córdoba,€325K,CB
J. Escobar,Colombia,63,Jaguares de Córdoba,€240K,GK
E. González,Colombia,63,Jaguares de Córdoba,€40K,LB
W. Díaz,Colombia,63,Jaguares de Córdoba,€0,LCB
Rafhael Lucas,Brazil,63,Jaguares de Córdoba,€475K,ST
Lee Kwang Sun,Korea Republic,63,Jeju United FC,€375K,ST
Hwang ByeongGeun,Korea Republic,63,Jeonbuk Hyundai Motors,€375K,GK
Kim Seon Woo,Korea Republic,63,Jeonnam Dragons,€450K,CM
Jang Dae Hee,Korea Republic,63,Jeonnam Dragons,€400K,GK
Wanderson,Brazil,63,Jeonnam Dragons,€350K,LM
Choi Hyo Jin,Korea Republic,63,Jeonnam Dragons,€100K,RB
Yang Xiaotian,China PR,63,Jiangsu Suning FC,€290K,LB
Xie Pengfei,China PR,63,Jiangsu Suning FC,€450K,LM
Zhou Yun,China PR,63,Jiangsu Suning FC,€350K,RB
Tian Yinong,China PR,63,Jiangsu Suning FC,€425K,RCM
Wang Song,China PR,63,Jiangsu Suning FC,€190K,RM
Huang Zichang,China PR,63,Jiangsu Suning FC,€600K,RM
A. Andrianarimanana,Madagascar,63,Kaizer Chiefs,€425K,CM
W. Meyiwa,South Africa,63,Kaizer Chiefs,€750K,CM
H. Hallberg,Sweden,63,Kalmar FF,€600K,CM
O. Söderberg,Sweden,63,Kalmar FF,€300K,GK
T. Eriksson,Sweden,63,Kalmar FF,€220K,LM
P. Diouf,Senegal,63,Kalmar FF,€375K,RS
K. Choi,Korea Republic,63,Karlsruher SC,€525K,CF
S. Müller,Germany,63,Karlsruher SC,€400K,GK
I. Diallo,Mali,63,KAS Eupen,€450K,CB
B. Niasse,Senegal,63,KAS Eupen,€400K,GK
S. Essende,France,63,KAS Eupen,€650K,ST
H. Demir,Turkey,63,Kasimpa?a SK,€500K,CM
Caio César,Brazil,63,Kawasaki Frontale,€500K,CAM
M. Fitzgerald,Japan,63,Kawasaki Frontale,€290K,CB
P. Pflücke,Germany,63,KFC Uerdingen 05,€625K,CAM
K. Schwertfeger,Germany,63,KFC Uerdingen 05,€290K,CDM
A. Ibrahimaj,Germany,63,KFC Uerdingen 05,€400K,RM
L. Musculus,Germany,63,KFC Uerdingen 05,€400K,ST
M. Mi?kiewicz,Poland,63,Korona Kielce,€290K,GK
L. Kalludra,Sweden,63,Kristiansund BK,€425K,CAM
A. Diop,Senegal,63,Kristiansund BK,€425K,CM
C. Aasbak,Norway,63,Kristiansund BK,€400K,LB
B. Sørmo,Norway,63,Kristiansund BK,€475K,RB
P. Ulvestad,Norway,63,Kristiansund BK,€350K,RDM
B. Bye,Norway,63,Kristiansund BK,€375K,RM
M. Van Damme,Belgium,63,KSV Cercle Brugge,€350K,GK
A. Omar,Kenya,63,KSV Cercle Brugge,€375K,LB
F. Marquet,Belgium,63,KV Oostende,€475K,CM
J. Bataille,Belgium,63,KV Oostende,€650K,RM
O. Tounkara,France,63,La Berrichonne de Châteauroux,€375K,RS
E. Ruiz,Colombia,63,La Equidad,€675K,GK
A. Torralvo,Colombia,63,La Equidad,€400K,LB
O. Bernal,Mexico,63,La Equidad,€425K,RB
P. Lima,Uruguay,63,La Equidad,€350K,RDM
B. Sylvestre,United States,63,LA Galaxy,€350K,GK
O. Sissoko,Mali,63,Le Havre AC,€240K,GK
A. Dzabana,France,63,Le Havre AC,€600K,ST
B. Moussiti-Oko,Congo,63,Le Havre AC,€525K,ST
A. Marino,Italy,63,Lecce,€290K,CB
A. Arrigoni,Italy,63,Lecce,€290K,CM
M. Armellino,Italy,63,Lecce,€375K,CM
F. Lepore,Italy,63,Lecce,€200K,RB
Dioni,Spain,63,Lech Pozna?,€375K,ST
M. Lewandowski,Poland,63,Lechia Gda?sk,€350K,LB
G. Wojtkowiak,Poland,63,Lechia Gda?sk,€100K,RB
J. Arak,Poland,63,Lechia Gda?sk,€550K,ST
Joan Monterde,Spain,63,Levante UD,€600K,CAM
Dani Cárdenas,Spain,63,Levante UD,€450K,GK
Juan Delgado,Spain,63,Levante UD,€525K,ST
F. Krogstad,Norway,63,Lillestrøm SK,€525K,CM
S. Kind Mikalsen,Norway,63,Lillestrøm SK,€475K,LB
M. Haakenstad,Norway,63,Lillestrøm SK,€375K,RB
G. Martin,England,63,Lillestrøm SK,€400K,ST
T. Pett,England,63,Lincoln City,€425K,CAM
S. McCartan,Northern Ireland,63,Lincoln City,€500K,CAM
J. Wilson,Wales,63,Lincoln City,€290K,CB
S. Robinson,Scotland,63,Livingston FC,€425K,LS
R. Lamie,Scotland,63,Livingston FC,€400K,LWB
S. Saunders,Scotland,63,Livingston FC,€350K,RB
Dolly Menga,Angola,63,Livingston FC,€475K,RS
A. Soumaoro,Guinea,63,Livorno,€450K,CDM
D. Iapichino,Switzerland,63,Livorno,€300K,LB
G. Cortez,Ecuador,63,Lobos BUAP,€550K,CAM
L. Olascoaga,Mexico,63,Lobos BUAP,€350K,RB
B. Rotenberg,Finland,63,Lokomotiv Moscow,€200K,RB
A. Kovar,United States,63,Los Angeles FC,€475K,RM
B. Soumaré,France,63,LOSC Lille,€775K,CM
E. Lee,England,63,Luton Town,€500K,CAM
J. Justin,England,63,Luton Town,€575K,LB
W. Viitala,Finland,63,Malmö FF,€350K,GK
J. Bohui,England,63,Manchester United,€700K,ST
B. Olejnik,Austria,63,Mansfield Town,€220K,GK
P. Anderson,England,63,Mansfield Town,€350K,RM
O. Malik,Australia,63,Melbourne City FC,€300K,CDM
L. Wales,Australia,63,Melbourne City FC,€525K,LW
L. Broxham,Australia,63,Melbourne Victory,€270K,LB
K. Osyra,Poland,63,Mied? Legnica,€425K,CB
Fran Cruz,Spain,63,Mied? Legnica,€300K,CB
A. Kanibolotskyi,Ukraine,63,Mied? Legnica,€240K,GK
G. Bartczak,Poland,63,Mied? Legnica,€140K,LCB
Borja Fernández,Spain,63,Mied? Legnica,€550K,LCM
W. ?obodzi?ski,Poland,63,Mied? Legnica,€160K,RM
F. Piasecki,Poland,63,Mied? Legnica,€500K,ST
S. Vega,Colombia,63,Millonarios FC,€725K,RB
J. Salazar,Colombia,63,Millonarios FC,€800K,RM
C. López,Colombia,63,Millonarios FC,€525K,ST
M. Hancox,England,63,Milton Keynes Dons,€400K,LWB
B. Owundi Eko'o,Cameroon,63,Minnesota United FC,€400K,CB
Maximiano,Brazil,63,Minnesota United FC,€475K,CDM
A. Kubalas,Turkey,63,MKE Ankaragücü,€375K,CB
M. Akan,Turkey,63,MKE Ankaragücü,€400K,LB
M. Moström,Sweden,63,Molde FK,€160K,RW
J. Valadez,Mexico,63,Monarcas Morelia,€400K,CB
S. Ferreira,Paraguay,63,Monarcas Morelia,€500K,LS
C. Zamudio,Mexico,63,Monarcas Morelia,€525K,ST
C. Rodríguez,Mexico,63,Monterrey,€500K,RM
K. Krolicki,Japan,63,Montreal Impact,€525K,CM
C. Diop,Senegal,63,Montreal Impact,€325K,GK
A. Leitch-Smith,England,63,Morecambe,€375K,CAM
B. Roche,Republic of Ireland,63,Morecambe,€50K,GK
Nuno Macedo,Portugal,63,Moreirense FC,€425K,GK
Ricardo Almeida,Portugal,63,Moreirense FC,€525K,ST
E. Frear,England,63,Motherwell,€375K,LM
T. Blomeyer,Germany,63,MSV Duisburg,€475K,CB
L. Schoofs,Belgium,63,NAC Breda,€475K,CDM
T. Zwarthoed,Netherlands,63,NAC Breda,€90K,GK
J. Carolina,Curacao,63,NAC Breda,€525K,LB
K. Kushibiki,Japan,63,Nagoya Grampus,€400K,CB
T. Kanai,Japan,63,Nagoya Grampus,€290K,LB
M. Gomes,Switzerland,63,Neuchâtel Xamax,€280K,RB
G. Hauche,Argentina,63,New England Revolution,€500K,CAM
G. Somi,Syria,63,New England Revolution,€350K,LB
V. Castellanos,Argentina,63,New York City FC,€800K,CAM
J. Lewis,United States,63,New York City FC,€800K,LW
V. Bezecourt,France,63,New York Red Bulls,€500K,CAM
T. Redding,United States,63,New York Red Bulls,€525K,CB
B. White,United States,63,New York Red Bulls,€525K,ST
B. Kantarovski,Australia,63,Newcastle Jets,€375K,CDM
G. Moss,New Zealand,63,Newcastle Jets,€90K,GK
I. Vujica,Australia,63,Newcastle Jets,€475K,LB
M. Ridenton,New Zealand,63,Newcastle Jets,€525K,RDM
J. Hoffman,Australia,63,Newcastle Jets,€350K,ST
Víctor Fernández,Spain,63,Newcastle United,€800K,LM
F. Nadalín,Argentina,63,Newell's Old Boys,€550K,RB
J. Day,England,63,Newport County,€300K,GK
A. Hsissane,Morocco,63,Nîmes Olympique,€300K,CDM
M. Sourzac,France,63,Nîmes Olympique,€260K,GK
D. Bowditch,England,63,Northampton Town,€290K,CAM
D. Buchanan,Northern Ireland,63,Northampton Town,€200K,LB
A. Pierre,Grenada,63,Northampton Town,€425K,LCB
S. Foley,Republic of Ireland,63,Northampton Town,€325K,RCM
S. Hoskins,England,63,Northampton Town,€450K,RS
L. Alessandra,England,63,Notts County,€375K,CAM
S. Brisley,England,63,Notts County,€300K,CB
R. Milsom,England,63,Notts County,€325K,LDM
M. Broberg,Sweden,63,Odds BK,€375K,CM
H. Sulaimani,Saudi Arabia,63,Ohod Club,€0,LB
M. Al Dhaw,Sudan,63,Ohod Club,€475K,RM
D. Iversen,Denmark,63,Oldham Athletic,€525K,GK
C. Dummigan,Northern Ireland,63,Oldham Athletic,€475K,RB
O. Solet,France,63,Olympique Lyonnais,€675K,CB
M. Nazarit,Colombia,63,Once Caldas,€725K,CB
L. Sierra,Colombia,63,Once Caldas,€270K,CDM
S. Ring,Sweden,63,Örebro SK,€450K,LWB
D. Björnquist,Sweden,63,Örebro SK,€280K,RWB
PC,Brazil,63,Orlando City SC,€425K,LB
P. Mako,South Africa,63,Orlando Pirates,€400K,LB
Guilherme Oliveira,Portugal,63,Os Belenenses,€350K,GK
S. Mensiro,Ghana,63,Östersunds FK,€290K,CB
J. Flores,England,63,Östersunds FK,€525K,CM
A. Andersson,Sweden,63,Östersunds FK,€325K,GK
J. Sellars,England,63,Östersunds FK,€550K,LM
R. Mukiibi,Sweden,63,Östersunds FK,€350K,RB
G. Whyte,Northern Ireland,63,Oxford United,€600K,RM
R. Serena,Italy,63,Padova,€550K,CM
S. Perisan,Italy,63,Padova,€425K,GK
A. Cisco,Italy,63,Padova,€575K,ST
M. Chinellato,Italy,63,Padova,€450K,ST
A. Accardi,Italy,63,Palermo,€475K,CB
Fabiem Jardim,Brazil,63,Paraná,€190K,CAM
Sander Asevedo,Brazil,63,Paraná,€150K,GK
A. Georgen,France,63,Paris Saint-Germain,€700K,RB
G. Pinto,Italy,63,Parma,€350K,LB
F. Sierralta,Chile,63,Parma,€725K,RB
A. Da Cruz,Netherlands,63,Parma,€600K,ST
J. Buitrago,Colombia,63,Patriotas Boyacá FC,€400K,CDM
M. Ramírez,Colombia,63,Patriotas Boyacá FC,€375K,CM
E. Benavidez,Argentina,63,Patriotas Boyacá FC,€350K,RCM
J. Palacios,Colombia,63,Patriotas Boyacá FC,€450K,ST
M. Minetti,Argentina,63,Patronato,€290K,CDM
N. Pantaleone,Argentina,63,Patronato,€400K,LB
N. Royón,Uruguay,63,Patronato,€425K,RS
D. Djulbic,Australia,63,Perth Glory,€90K,CB
Fábio Ferreira,Portugal,63,Perth Glory,€350K,RM
G. Felicioli,Italy,63,Perugia,€575K,LB
N. Falasco,Italy,63,Perugia,€375K,LB
G. Terrani,Italy,63,Perugia,€500K,LW
A. Palazzi,Italy,63,Pescara,€500K,CM
F. Melegoni,Italy,63,Pescara,€775K,CM
F. Kanoute,Senegal,63,Pescara,€775K,CM
J. Yorwerth,Wales,63,Peterborough United,€475K,CB
A. Chapman,England,63,Peterborough United,€260K,GK
G. Cooper,England,63,Peterborough United,€575K,LM
A. Gordyushenko,Russia,63,PFC CSKA Moscow,€700K,CM
I. Pomazun,Russia,63,PFC CSKA Moscow,€400K,GK
M. Epps,United States,63,Philadelphia Union,€500K,RM
U. Korun,Slovenia,63,Piast Gliwice,€250K,CB
A. Jagie??o,Poland,63,Piast Gliwice,€500K,LM
Jorge Félix,Spain,63,Piast Gliwice,€400K,LM
H. Burgoyne,England,63,Plymouth Argyle,€575K,GK
K. Letheren,Wales,63,Plymouth Argyle,€240K,GK
G. Sawyer,England,63,Plymouth Argyle,€200K,LB
N. Canavan,Republic of Ireland,63,Plymouth Argyle,€375K,LCB
F. Ladapo,Nigeria,63,Plymouth Argyle,€475K,ST
Lee Hoo Gwon,Korea Republic,63,Pohang Steelers,€375K,CM
Lee Jin Hyun,Korea Republic,63,Pohang Steelers,€600K,CM
Woo Chan Yang,Korea Republic,63,Pohang Steelers,€550K,LB
L. Hannant,England,63,Port Vale,€450K,LM
B. Whitfield,England,63,Port Vale,€500K,RM
M. Farfan,United States,63,Portland Timbers,€525K,LB
T. Conechny,Argentina,63,Portland Timbers,€825K,ST
C. Gakpo,Netherlands,63,PSV,€800K,LW
O. Shodipo,Republic of Ireland,63,Queens Park Rangers,€625K,LM
P. Yrizar,Mexico,63,Querétaro,€500K,ST
M. Madri,France,63,Racing Club de Lens,€375K,ST
E. Marxen,Denmark,63,Randers FC,€350K,LCB
M. Kallesøe,Denmark,63,Randers FC,€600K,RM
O. Storflor,Norway,63,Ranheim Fotball,€120K,RW
Robert Costa,Spain,63,RC Celta,€500K,CB
Carlos Doncel,Spain,63,RCD Espanyol,€550K,LM
Stoichkov,Spain,63,RCD Mallorca,€475K,CAM
Bonilla,Spain,63,RCD Mallorca,€300K,LB
Sergio Buenacasa,Spain,63,RCD Mallorca,€525K,ST
Dani Gómez,Spain,63,Real Madrid,€800K,ST
Lolo,Spain,63,Real Oviedo,€350K,CDM
Edu Cortina,Spain,63,Real Oviedo,€625K,CM
T. Peay,United States,63,Real Salt Lake,€375K,CB
A. Herrera,United States,63,Real Salt Lake,€525K,LB
Pedro Díaz,Spain,63,Real Sporting de Gijón,€625K,CAM
Carlos Cordero,Spain,63,Real Sporting de Gijón,€500K,LB
Alberto Espeso,Spain,63,Real Sporting de Gijón,€575K,LB
Pelayo Morilla,Spain,63,Real Sporting de Gijón,€725K,RM
M. Salisu,Ghana,63,Real Valladolid CF,€625K,CB
Clemente,Spain,63,Real Zaragoza,€725K,CB
J. Medina,Colombia,63,Real Zaragoza,€525K,RM
O. Mfulu,DR Congo,63,Red Star FC,€425K,CDM
S. Rénot,France,63,Red Star FC,€300K,GK
M. Derrien,France,63,Red Star FC,€450K,LCB
G. Lefebvre,France,63,Red Star FC,€450K,LDM
M. Satli,Algeria,63,Red Star FC,€290K,RB
Paulo Vítor,Brazil,63,Rio Ave FC,€290K,GK
Ricardo Schutte,Portugal,63,Rio Ave FC,€575K,ST
D. Giraldo,Colombia,63,Rionegro Águilas,€725K,CDM
D. Gómez,Colombia,63,Rionegro Águilas,€400K,RM
K. Ntlhe,South Africa,63,Rochdale,€400K,LB
A. Wilbraham,England,63,Rochdale,€130K,ST
C. Andrew,England,63,Rochdale,€325K,ST
R. Alfani,Argentina,63,Rosario Central,€500K,CB
E. Gómez,Argentina,63,Rosario Central,€400K,LB
D. Deni?,Serbia,63,Rosenborg BK,€575K,CM
Y. De Winter,Belgium,63,Royal Antwerp FC,€220K,GK
L. Napoleone,Belgium,63,Royal Excel Mouscron,€500K,CAM
F. Boya,Cameroon,63,Royal Excel Mouscron,€425K,LCM
M. Kuzmanovi?,Bosnia Herzegovina,63,Royal Excel Mouscron,€500K,LM
Y. Mbombo,Belgium,63,Royal Excel Mouscron,€500K,ST
E. Kayembe,DR Congo,63,RSC Anderlecht,€625K,CAM
B. de Jong,Netherlands,63,RSC Anderlecht,€350K,GK
M. Fujita,Japan,63,Sagan Tosu,€200K,RB
O. Stijepovi?,Montenegro,63,Sampdoria,€750K,CM
E. Calvillo,United States,63,San Jose Earthquakes,€575K,CM
A. Gaich,Argentina,63,San Lorenzo de Almagro,€800K,ST
C. Melivilú,Chile,63,San Luis de Quillota,€500K,ST
J. Rodríguez,Argentina,63,San Martín de San Juan,€450K,CB
